저널 IF 랭킹 600,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
IEEE Transactions on Computational Social Systems,IEEE T COMPUT SOC SY,IEEE,2329-924X,2329-924X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.6,84/266,0.3157894736842105,가능 (세부 논문 방향에 따라 융합 포장 필요)
Big Data Research,BIG DATA RES,ELSEVIER,2214-5796,2214-5796,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.6,84/266,0.3157894736842105,가능 (RSU/차량 간 분산 데이터 처리 아키텍처 강조)
COMPUTATIONAL MECHANICS,COMPUT MECH,SPRINGER,0178-7675,1432-0924,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4.5,11/137,0.08029197080291971,불일치 (전산 역학/음향 물리 주력)
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,IEEE J SEL TOP QUANT,IEEE,1077-260X,1558-4542,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.5,115/369,0.3116531165311653,불일치 (양자/광학 물리 주력)
IEEE SENSORS JOURNAL,IEEE SENS J,IEEE,1530-437X,1558-1748,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.5,115/369,0.3116531165311653,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,IEEE COMPUTER SOC,1541-1672,1941-1294,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.5,115/369,0.3116531165311653,가능 (세부 논문 방향에 따라 융합 포장 필요)
CHINESE JOURNAL OF ELECTRONICS,CHINESE J ELECTRON,Chinese Inst Electronics,1022-4653,2075-5597,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.5,115/369,0.3116531165311653,가능 (세부 논문 방향에 따라 융합 포장 필요)
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,WORLD WIDE WEB,SPRINGER,1386-145X,1573-1413,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.5,91/266,0.34210526315789475,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
Complex & Intelligent Systems,COMPLEX INTELL SYST,SPRINGER HEIDELBERG,2199-4536,2198-6053,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.5,81/210,0.38571428571428573,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE COMMUNICATIONS LETTERS,IEEE COMMUN LETT,IEEE,1089-7798,1558-2558,TELECOMMUNICATIONS,4.5,50/127,0.3937007874015748,가능 (통신 시스템/알고리즘 기여도 어필)
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,EDUC PSYCHOL MEAS,SAGE PUBLICATIONS INC,0013-1644,1552-3888,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4.4,12/137,0.08759124087591241,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,IEEE T CONTR SYST T,IEEE,1063-6536,1558-0865,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.4,120/369,0.3252032520325203,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Foundations and Trends in Information Retrieval,FOUND TRENDS INF RET,NOW PUBLISHERS INC,1554-0669,1554-0677,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.4,94/266,0.3533834586466165,가능 (통신 시스템/알고리즘 기여도 어필)
Journal of Information Security and Applications,J INF SECUR APPL,ELSEVIER,2214-2126,2214-2134,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.4,94/266,0.3533834586466165,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE Transactions on Human-Machine Systems,IEEE T HUM-MACH SYST,IEEE,2168-2291,2168-2305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.4,85/210,0.40476190476190477,가능 (세부 논문 방향에 따라 융합 포장 필요)
ELECTRIC POWER SYSTEMS RESEARCH,ELECTR POW SYST RES,ELSEVIER SCIENCE SA,0378-7796,1873-2046,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.3,121/369,0.32791327913279134,불일치 (배터리/전력망/에너지 하드웨어 주력)
COMPUTER COMMUNICATIONS,COMPUT COMMUN,ELSEVIER,0140-3664,1873-703X,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.2,124/369,0.33604336043360433,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE Access,IEEE ACCESS,IEEE,2169-3536,2169-3536,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.2,124/369,0.33604336043360433,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
Transportmetrica B-Transport Dynamics,TRANSPORTMETRICA B,TAYLOR & FRANCIS LTD,2168-0566,2168-0582,TRANSPORTATION SCIENCE & TECHNOLOGY,4.2,27/80,0.3375,가능 (세부 논문 방향에 따라 융합 포장 필요)
Egyptian Informatics Journal,EGYPT INFORM J,"CAIRO UNIV, FAC COMPUTERS & INFORMATION",1110-8665,2090-4754,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.2,100/266,0.37593984962406013,가능 (세부 논문 방향에 따라 융합 포장 필요)
Machine Learning-Science and Technology,MACH LEARN-SCI TECHN,IOP Publishing Ltd,,2632-2153,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.2,87/210,0.4142857142857143,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
Econometrics Journal,ECONOMET J,OXFORD UNIV PRESS,1368-4221,1368-423X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4.1,13/137,0.0948905109489051,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE ACM T COMPUT BI,IEEE COMPUTER SOC,1545-5963,1557-9964,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4.1,13/137,0.0948905109489051,불일치 (의료/생명과학 주력)
Mathematical Geosciences,MATH GEOSCI,SPRINGER HEIDELBERG,1874-8961,1874-8953,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4.1,13/137,0.0948905109489051,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
TRANSPORTATION,TRANSPORTATION,SPRINGER,0049-4488,1572-9435,TRANSPORTATION SCIENCE & TECHNOLOGY,4.1,28/80,0.35,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
EVOLUTIONARY COMPUTATION,EVOL COMPUT,MIT PRESS,1063-6560,1530-9304,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4.1,89/210,0.4238095238095238,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
MATHEMATICS AND COMPUTERS IN SIMULATION,MATH COMPUT SIMULAT,ELSEVIER,0378-4754,1872-7166,"MATHEMATICS, APPLIED",4,4/345,0.011594202898550725,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
RISK ANALYSIS,RISK ANAL,WILEY,0272-4332,1539-6924,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4,16/137,0.11678832116788321,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,IEEE T ULTRASON FERR,IEEE,0885-3010,1525-8955,"ENGINEERING, ELECTRICAL & ELECTRONIC",4,127/369,0.34417344173441733,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
SENSORS,SENSORS-BASEL,MDPI,,1424-8220,"ENGINEERING, ELECTRICAL & ELECTRONIC",4,127/369,0.34417344173441733,가능 (세부 논문 방향에 따라 융합 포장 필요)
APPLIED ARTIFICIAL INTELLIGENCE,APPL ARTIF INTELL,TAYLOR & FRANCIS INC,0883-9514,1087-6545,"ENGINEERING, ELECTRICAL & ELECTRONIC",4,127/369,0.34417344173441733,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
ACM Transactions on Privacy and Security,ACM T PRIV SECUR,ASSOC COMPUTING MACHINERY,2471-2566,2471-2574,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4,105/266,0.39473684210526316,가능 (세부 논문 방향에 따라 융합 포장 필요)
INFORMATION SYSTEMS,INFORM SYST,PERGAMON-ELSEVIER SCIENCE LTD,0306-4379,1873-6076,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4,105/266,0.39473684210526316,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES,AI ACCESS FOUNDATION,1076-9757,1943-5037,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4,91/210,0.43333333333333335,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,SPRINGERNATURE,1875-6891,1875-6883,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4,91/210,0.43333333333333335,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
DISPLAYS,DISPLAYS,ELSEVIER,0141-9382,1872-7387,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.9,132/369,0.35772357723577236,가능 (세부 논문 방향에 따라 융합 포장 필요)
Transportmetrica A-Transport Science,TRANSPORTMETRICA A,TAYLOR & FRANCIS LTD,2324-9935,2324-9943,TRANSPORTATION SCIENCE & TECHNOLOGY,3.9,29/80,0.3625,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Intelligent Transportation Systems,J INTELL TRANSPORT S,TAYLOR & FRANCIS INC,1547-2450,1547-2442,TRANSPORTATION SCIENCE & TECHNOLOGY,3.9,29/80,0.3625,적합
Journal of Grid Computing,J GRID COMPUT,SPRINGER,1570-7873,1572-9184,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.9,107/266,0.40225563909774437,가능 (통신 시스템/알고리즘 기여도 어필)
Pervasive and Mobile Computing,PERVASIVE MOB COMPUT,ELSEVIER,1574-1192,1873-1589,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.9,107/266,0.40225563909774437,적합
DATA & KNOWLEDGE ENGINEERING,DATA KNOWL ENG,ELSEVIER,0169-023X,1872-6933,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.9,107/266,0.40225563909774437,가능 (RSU/차량 간 분산 데이터 처리 아키텍처 강조)
International Journal of Multimedia Information Retrieval,INT J MULTIMED INF R,SPRINGER,2192-6611,2192-662X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.9,94/210,0.44761904761904764,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
Applied and Computational Mathematics,APPL COMPUT MATH-BAK,"BAKU STATE UNIV, INST APPLIED MATHEMATICS",1683-3511,1683-6154,"MATHEMATICS, APPLIED",3.8,5/345,0.014492753623188406,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Communications in Nonlinear Science and Numerical Simulation,COMMUN NONLINEAR SCI,ELSEVIER,1007-5704,1878-7274,"MATHEMATICS, APPLIED",3.8,5/345,0.014492753623188406,가능 (통신 시스템/알고리즘 기여도 어필)
FINITE ELEMENTS IN ANALYSIS AND DESIGN,FINITE ELEM ANAL DES,ELSEVIER,0168-874X,1872-6925,"MATHEMATICS, APPLIED",3.8,5/345,0.014492753623188406,가능 (세부 논문 방향에 따라 융합 포장 필요)
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,ELSEVIER,0169-7439,1873-3239,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.8,17/137,0.12408759124087591,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,IEEE J EM SEL TOP C,IEEE,2156-3357,2156-3365,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.8,134/369,0.36314363143631434,불일치 (반도체/전자 소자 하드웨어 주력)
INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,INT J ADAPT CONTROL,WILEY,0890-6327,1099-1115,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.8,134/369,0.36314363143631434,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
ONLINE INFORMATION REVIEW,ONLINE INFORM REV,EMERALD GROUP PUBLISHING LTD,1468-4527,1468-4535,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.8,110/266,0.41353383458646614,가능 (서베이/매거진 형식으로 작성)
Proceedings of the VLDB Endowment,PROC VLDB ENDOW,ASSOC COMPUTING MACHINERY,2150-8097,2150-8097,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.8,110/266,0.41353383458646614,가능 (세부 논문 방향에 따라 융합 포장 필요)
ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik,ZAMM-Z ANGEW MATH ME,WILEY-V C H VERLAG GMBH,0044-2267,1521-4001,"MATHEMATICS, APPLIED",3.7,9/345,0.02608695652173913,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Journal of the Franklin Institute,J FRANKLIN I,PERGAMON-ELSEVIER SCIENCE LTD,0016-0032,1879-2693,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.7,19/137,0.1386861313868613,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIGNAL PROCESSING,SIGNAL PROCESS,ELSEVIER,0165-1684,1872-7557,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.7,137/369,0.3712737127371274,가능 (세부 논문 방향에 따라 융합 포장 필요)
International Journal of Rail Transportation,INT J RAIL TRANSP,TAYLOR & FRANCIS LTD,2324-8378,2324-8386,TRANSPORTATION SCIENCE & TECHNOLOGY,3.7,31/80,0.3875,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
Evolving Systems,EVOL SYST-GER,SPRINGER HEIDELBERG,1868-6478,1868-6486,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.7,98/210,0.4666666666666667,가능 (세부 논문 방향에 따라 융합 포장 필요)
MATHEMATICAL FINANCE,MATH FINANC,WILEY,0960-1627,1467-9965,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.6,21/137,0.15328467153284672,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IEEE Transactions on Terahertz Science and Technology,IEEE T THZ SCI TECHN,IEEE,2156-342X,2156-3446,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.6,142/369,0.38482384823848237,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE ANTENNAS AND PROPAGATION MAGAZINE,IEEE ANTENN PROPAG M,IEEE,1045-9243,1558-4143,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.6,142/369,0.38482384823848237,가능 (서베이/매거진 형식으로 작성)
IEEE SIGNAL PROCESSING LETTERS,IEEE SIGNAL PROC LET,IEEE,1070-9908,1558-2361,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.6,142/369,0.38482384823848237,가능 (세부 논문 방향에 따라 융합 포장 필요)
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,ACADEMIC PRESS INC ELSEVIER SCIENCE,1077-3142,1090-235X,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.6,142/369,0.38482384823848237,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,IEEE T COMPUT AID D,IEEE,0278-0070,1937-4151,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.6,142/369,0.38482384823848237,불일치 (반도체/전자 소자 하드웨어 주력)
IEEE TRANSACTIONS ON ELECTRON DEVICES,IEEE T ELECTRON DEV,IEEE,0018-9383,1557-9646,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.6,142/369,0.38482384823848237,불일치 (반도체/전자 소자 하드웨어 주력)
Journal of Network and Systems Management,J NETW SYST MANAG,SPRINGER,1064-7570,1573-7705,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.6,115/266,0.4323308270676692,적합
Enterprise Information Systems,ENTERP INF SYST-UK,TAYLOR & FRANCIS LTD,1751-7575,1751-7583,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.6,115/266,0.4323308270676692,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWL INF SYST,SPRINGER LONDON LTD,0219-1377,0219-3116,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.6,115/266,0.4323308270676692,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,COMMUN PUR APPL MATH,WILEY,0010-3640,1097-0312,"MATHEMATICS, APPLIED",3.5,10/345,0.028985507246376812,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,MATH COMP MODEL DYN,TAYLOR & FRANCIS INC,1387-3954,1744-5051,"MATHEMATICS, APPLIED",3.5,10/345,0.028985507246376812,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
MULTIVARIATE BEHAVIORAL RESEARCH,MULTIVAR BEHAV RES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0027-3171,1532-7906,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.5,22/137,0.16058394160583941,가능 (세부 논문 방향에 따라 융합 포장 필요)
ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,ENG ANAL BOUND ELEM,ELSEVIER SCI LTD,0955-7997,1873-197X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.5,22/137,0.16058394160583941,가능 (세부 논문 방향에 따라 융합 포장 필요)
Fractal and Fractional,FRACTAL FRACT,MDPI,,2504-3110,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.5,22/137,0.16058394160583941,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,STRUCT EQU MODELING,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1070-5511,1532-8007,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.5,22/137,0.16058394160583941,불일치 (토목/건축 구조물 주력)
JOURNAL OF SUPERCOMPUTING,J SUPERCOMPUT,SPRINGER,0920-8542,1573-0484,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.5,148/369,0.4010840108401084,가능 (통신 시스템/알고리즘 기여도 어필)
JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,J MICROELECTROMECH S,IEEE,1057-7157,1941-0158,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.5,148/369,0.4010840108401084,불일치 (전산 역학/음향 물리 주력)
Aslib Journal of Information Management,ASLIB J INFORM MANAG,EMERALD GROUP PUBLISHING LTD,2050-3806,1758-3748,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.5,120/266,0.45112781954887216,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST,SPRINGER,0925-9902,1573-7675,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.5,120/266,0.45112781954887216,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
ACM SIGCOMM Computer Communication Review,ACM SIGCOMM COMP COM,ASSOC COMPUTING MACHINERY,0146-4833,1943-5819,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.5,120/266,0.45112781954887216,가능 (서베이/매거진 형식으로 작성)
Frontiers in Neurorobotics,FRONT NEUROROBOTICS,FRONTIERS MEDIA SA,1662-5218,1662-5218,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.5,102/210,0.4857142857142857,가능 (세부 논문 방향에 따라 융합 포장 필요)
AI MAGAZINE,AI MAG,WILEY,0738-4602,2371-9621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.5,102/210,0.4857142857142857,가능 (서베이/매거진 형식으로 작성)
APPLIED INTELLIGENCE,APPL INTELL,SPRINGER,0924-669X,1573-7497,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.5,102/210,0.4857142857142857,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
PATTERN RECOGNITION LETTERS,PATTERN RECOGN LETT,ELSEVIER,0167-8655,1872-7344,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.5,102/210,0.4857142857142857,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
Advances in Nonlinear Analysis,ADV NONLINEAR ANAL,DE GRUYTER POLAND SP Z O O,2191-9496,2191-950X,"MATHEMATICS, APPLIED",3.4,12/345,0.034782608695652174,가능 (세부 논문 방향에 따라 융합 포장 필요)
TWMS Journal of Pure and Applied Mathematics,TWMS J PURE APPL MAT,"BAKU STATE UNIV, INST APPLIED MATHEMATICS",2076-2585,2219-1259,"MATHEMATICS, APPLIED",3.4,12/345,0.034782608695652174,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Computational Particle Mechanics,COMPUT PART MECH,SPRINGER INT PUBL AG,2196-4378,2196-4386,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.4,27/137,0.19708029197080293,불일치 (전산 역학/음향 물리 주력)
IEEE Microwave and Wireless Technology Letters,IEEE MICROW WIREL TE,IEEE,2771-957X,2771-9588,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.4,151/369,0.4092140921409214,적합
DIGITAL SIGNAL PROCESSING,DIGIT SIGNAL PROCESS,ACADEMIC PRESS INC ELSEVIER SCIENCE,1051-2004,1095-4333,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.4,151/369,0.4092140921409214,가능 (세부 논문 방향에 따라 융합 포장 필요)
Transportation Letters-The International Journal of Transportation Research,TRANSP LETT,TAYLOR & FRANCIS LTD,1942-7867,1942-7875,TRANSPORTATION SCIENCE & TECHNOLOGY,3.4,37/80,0.4625,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
EXPERT SYSTEMS,EXPERT SYST,WILEY,0266-4720,1468-0394,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.4,108/210,0.5142857142857142,가능 (세부 논문 방향에 따라 융합 포장 필요)
CHAOS,CHAOS,AIP Publishing,1054-1500,1089-7682,"MATHEMATICS, APPLIED",3.3,14/345,0.04057971014492753,가능 (세부 논문 방향에 따라 융합 포장 필요)
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,INT J NUMER METH ENG,WILEY,0029-5981,1097-0207,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.3,28/137,0.20437956204379562,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Industrial Electronics Magazine,IEEE IND ELECTRON M,IEEE,1932-4529,1941-0115,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.3,156/369,0.42276422764227645,가능 (서베이/매거진 형식으로 작성)
IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,IEEE T DIELECT EL IN,IEEE,1070-9878,1558-4135,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.3,156/369,0.42276422764227645,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Transactions on Components Packaging and Manufacturing Technology,IEEE T COMP PACK MAN,IEEE,2156-3950,2156-3985,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.3,156/369,0.42276422764227645,가능 (스마트 팩토리/산업용 IoT 인프라로 환경 설정)
MICROELECTRONIC ENGINEERING,MICROELECTRON ENG,ELSEVIER,0167-9317,1873-5568,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.3,156/369,0.42276422764227645,가능 (세부 논문 방향에 따라 융합 포장 필요)
REQUIREMENTS ENGINEERING,REQUIR ENG,SPRINGER,0947-3602,1432-010X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.3,127/266,0.4774436090225564,가능 (세부 논문 방향에 따라 융합 포장 필요)
Qualitative Theory of Dynamical Systems,QUAL THEOR DYN SYST,SPRINGER BASEL AG,1575-5460,1662-3592,"MATHEMATICS, APPLIED",3.2,15/345,0.043478260869565216,가능 (세부 논문 방향에 따라 융합 포장 필요)
APPLIED MATHEMATICS AND COMPUTATION,APPL MATH COMPUT,ELSEVIER SCIENCE INC,0096-3003,1873-5649,"MATHEMATICS, APPLIED",3.2,15/345,0.043478260869565216,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
SIAM JOURNAL ON NUMERICAL ANALYSIS,SIAM J NUMER ANAL,SIAM PUBLICATIONS,0036-1429,1095-7170,"MATHEMATICS, APPLIED",3.2,15/345,0.043478260869565216,가능 (세부 논문 방향에 따라 융합 포장 필요)
Nonlinear Analysis-Hybrid Systems,NONLINEAR ANAL-HYBRI,ELSEVIER SCI LTD,1751-570X,1878-7460,"MATHEMATICS, APPLIED",3.2,15/345,0.043478260869565216,가능 (세부 논문 방향에 따라 융합 포장 필요)
INFORMATICA,INFORMATICA-LITHUAN,VILNIUS UNIV PRESS,0868-4952,1822-8844,"MATHEMATICS, APPLIED",3.2,15/345,0.043478260869565216,가능 (세부 논문 방향에 따라 융합 포장 필요)
International Journal of Optomechatronics,INT J OPTOMECHATRONI,TAYLOR & FRANCIS INC,1559-9612,1559-9620,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.2,162/369,0.43902439024390244,가능 (세부 논문 방향에 따라 융합 포장 필요)
MECHATRONICS,MECHATRONICS,PERGAMON-ELSEVIER SCIENCE LTD,0957-4158,0957-4158,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.2,162/369,0.43902439024390244,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,IEEE T VLSI SYST,IEEE,1063-8210,1557-9999,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.2,162/369,0.43902439024390244,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,J MATER SCI-MATER EL,SPRINGER,0957-4522,1573-482X,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.2,162/369,0.43902439024390244,가능 (세부 논문 방향에 따라 융합 포장 필요)
IET Renewable Power Generation,IET RENEW POWER GEN,WILEY,1752-1416,1752-1424,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.2,162/369,0.43902439024390244,불일치 (배터리/전력망/에너지 하드웨어 주력)
Journal of Web Semantics,J WEB SEMANT,ELSEVIER,1570-8268,1873-7749,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.2,130/266,0.48872180451127817,가능 (세부 논문 방향에 따라 융합 포장 필요)
ISPRS International Journal of Geo-Information,ISPRS INT J GEO-INF,MDPI,,2220-9964,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.2,130/266,0.48872180451127817,가능 (통신 시스템/알고리즘 기여도 어필)
Peer-to-Peer Networking and Applications,PEER PEER NETW APPL,SPRINGER,1936-6442,1936-6450,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.2,130/266,0.48872180451127817,적합
JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,J EUR MATH SOC,EUROPEAN MATHEMATICAL SOC-EMS,1435-9855,1435-9863,"MATHEMATICS, APPLIED",3.1,20/345,0.057971014492753624,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
